Gene	T.CD8	T.follicular_helper	T.CD4	T.NK	T.other	T.plasmacytoid
DPEP2	469.02547819999995	327.60796969999996	770.2169308	329.1131689	419.08388905	100.0
DPP4	686.9868700000001	22.53108052	828.61035765	1000.0	625.1514270499999	100.0
DSC1	408.664347	7.631831021	400.465002635	22.51758558	52.966882025000004	100.0
DUSP2	4083.939908	2300.259226	1238.4526343	401.0647523	2457.8988605500003	100.0
EAF2	219.0176307	197.1649083	221.32255780000003	191.05913130000002	194.61927680000002	100.0
EBI3	12.21399038	11.63480358	40.186354385	13.43490739	86.19658541550001	41.43565442
EFNA5	12.03201722	76.65867431	68.027036705	36.82431044	159.03711428999998	82.80618628
EGR2	35.39583074	1667.3292689999998	551.71012118	743.5738497000001	141.18027109999997	100.0
ELANE	103.48647779999999	9.857216379	11.201054469999999	451.1105692	508.098020065	100.0
ELL3	5.0	5.0	5.0	5.0	5.0	5.0
EMR1	195.8964573	182.9389251	392.289966	268.300129	391.90091265	100.0
EMR2	43.05953599	21.24976442	67.04296088999999	130.8337311	130.683897625	84.37096408
EMR3	104.1704046	139.75915519999998	82.87080593	64.373062	124.68252279999999	100.0
EPB41	235.3351386	89.94208868	162.75788556	101.37672409999999	27.559254701999997	100.0
EPHA1	400.0482873	57.88335321	463.86400684999995	127.4973902	52.881311545	100.0
EPN2	31.50834858	55.41158071	68.891586905	29.976829300000002	40.106572495	47.8418682
ETS1	613.4935899000001	701.5416085	934.8408585999999	727.9927412999999	565.42286457	100.0
ETV3	49.08454024	32.1556293	129.498350515	35.60812573	17.963146764999998	58.82446998
FAIM3	5723.984821999999	7380.970003	5990.4963885	1513.661936	3273.7404690000003	100.0
FAM124B	14.04816696	16.06928085	17.78255202	19.10712093	11.969649539999999	15.53271027
FAM174B	94.16937409	163.1153582	117.759452605	39.05668066	115.241950435	100.0
FAM198B	4.526894401	13.63143065	18.779378077	17.01771625	37.42942486	21.08480674
FAM212B	23.00981627	17.60479495	30.2669868	17.13494686	65.203569925	35.52723879
FAM65B	3376.093302	665.2076215	2993.4172820000003	1141.624002	1643.7748476499999	100.0
FASLG	169.2167794	126.7421568	226.99855645000002	1877.8864629999998	385.87667495	100.0
FBXL8	91.19310135	53.28186176	121.57439071	22.71096367	73.49405053	79.61754418
FCER1A	111.3010937	29.85402332	83.61229827	133.5553787	180.06697086999998	1000.0
FCER2	8.626141867000001	10.37726055	16.687891	12.96122654	20.373903362	15.15545967
FCGR1A	5.0	5.0	5.0	5.0	5.0	5.0
FCGR2B	65.97309417	108.5578105	26.782849744	150.7135694	124.06082305000001	89.56168852
FCGR3B	178.19936140000002	64.11513732	90.794521625	432.208367	325.04777125	100.0
FCN1	130.07546440000002	116.5979064	112.8167616	293.52128819999996	2561.1357367	100.0
FCRL2	73.7221496	46.90834881	50.84274528500001	51.67031576	90.90679282999999	65.11427006
FES	9.520155138	7.262313101	7.4830351969999995	235.340381	52.8015363685	53.2417132
FFAR2	11.77579288	14.98197508	14.173417315000002	43.70370988	26.365537699999997	21.64848398
FLJ13197	167.32006230000002	41.76287856	162.69820815	92.0095189	30.382961535	98.17925702
FLT3LG	1267.0317519999999	309.76985089999994	1671.04278355	297.09470580000004	433.31763125000003	100.0
FLVCR2	83.37381583	256.9226064	142.04641735	114.2968504	180.99420705	100.0
FOSB	41.65285438	5833.248925	223.745352765	31.99062179	31.26682548	100.0
FOXP3	65.14694151	146.8412284	232.00707525	44.28255428	1052.94595365	100.0
FPR1	210.2034137	248.213136	181.37865259999998	350.31543730000004	567.2058708	100.0
FPR2	54.91749032	56.44753053	50.721331765	78.59791081	133.38513892999998	79.73941044
FPR3	105.80796200000002	128.48359340000002	102.79559194500001	103.6791982	174.99210885	100.0
FRK	26.38936082	3.2106676989999996	8.5773728675	5.174953983	32.079447684499996	16.58408909
FRMD4A	49.31923782	211.24586459999998	42.07628497	44.67978481	31.070279425	64.50543086
FRMD8	28.9702418	228.186585	104.912220535	205.9976895	545.1342496850001	100.0
FZD2	13.86980966	9.463569762	16.220101201	16.56655329	41.36234346	22.15211743
FZD3	50.26515479	449.1787857	92.206443155	34.13135944	61.307577699999996	100.0
GAL3ST4	335.5930908	256.26840150000004	561.50699335	36.03975256	109.896967315	100.0
GALR1	3.908160923	6.994769751000001	23.02284564	3.9630808369999997	11.7356304085	12.05470909
GCSAM	5.0	5.0	5.0	5.0	5.0	5.0
GFI1	293.64088300000003	561.1786244	232.45051127499997	451.55042139999995	462.4403969	100.0
GGT5	12.99967839	10.13745863	17.479636305	15.31704221	10.8573668615	13.58974079
GIPR	10.90883943	30.90820518	13.75535665	12.59088047	50.162411155	26.0347801
GNG7	133.55146979999998	63.64624142	94.76751253	56.77049624	133.05343612	100.0
GNLY	3732.5360579999997	12.65987353	425.40836615	5000.0	2512.183286005	100.0
GPC4	43.02443597	60.05830259	62.628475185	60.03510132	76.527257835	63.06132942
GPR1	1.559283973	17.15481458	22.6024982625	9.557010062	33.541342289999996	20.0798271
GPR171	924.3717962999999	227.8557261	1365.3405418500001	742.1045746	5893.034409	100.0
GPR18	1037.066376	1521.532591	898.311219	1615.000475	528.29668515	100.0
GPR183	630.5280037	965.2070375	1746.5065552500002	208.9174199	465.1557508	100.0
GPR19	40.61246787	336.9689608	147.89598259000002	54.00513676	213.81473886999999	100.0
GPR25	28.719137800000002	21.82778451	43.12596352	16.30135354	26.3385465	29.39675656
GPR65	1518.5739449999999	252.2799806	873.6887529	2137.784528	1559.84008425	100.0
GPR97	104.93893130000001	39.81497642	86.791439155	356.6407815	116.47371654999999	100.0
GRAP2	280.9234111	201.26720930000002	264.75077505	254.0098588	178.29144589999999	100.0
GSTT1	18.64410933	83.68091706	28.823581795000003	15.85063338	19.6965754	30.74513917
GUSBP11	521.3361484000001	447.7619209	333.8679616	205.0460859	141.672312215	100.0
GYPE	26.87927605	6.90617027	6.1373773365	20.32952385	68.941017845	29.18168008
GZMA	6301.839315	130.74053030000002	1522.59804955	5000.0	209.09467734999998	100.0
GZMB	2080.697741	64.03542312	5547.60962041	5000.0	76.82438413	100.0
GZMH	8555.821981000001	26.30390688	481.33851965	9654.418477	89.65601389	100.0
GZMK	8814.387272	119.84764960000001	1689.8404580000001	5000.0	75.926474205	100.0
GZMM	1048.9893550000002	1030.215674	961.05306495	3193.838685	768.90965525	100.0
HAL	84.17530879	548.1212227000001	69.331044515	97.86213684	135.620370345	100.0
HCK	106.4569423	43.76861448	94.171758705	287.9345847	406.247325295	100.0
HDC	123.85966359999999	23.22265447	59.539125594999994	175.57908989999999	91.123399065	89.14092247
HESX1	7.046990167000001	8.369699084	7.421700318	8.818078558	22.74658883	12.08162087
HHEX	139.0353705	78.89317933	90.11669007500001	224.369826	159.76708158000002	100.0
HIC1	8.159927666	6.633637977	12.6555583965	28.75302158	49.76871076	24.05644651
HIST1H2AE	29.91298037	110.49022859999998	29.397144750000002	10.52337646	40.37176735	41.49491566
HIST1H2BG	78.31604621	182.147041	130.0756181	39.79510288	94.52956888	100.0
HK3	21.81413027	15.36690486	21.364535615	127.4565398	80.25356901500001	52.55339774
HLA-DOB	212.2757519	118.2666793	50.161342305000005	209.3725353	80.60585861000001	100.0
HLA-DQA1	173.41173830000002	89.17794598	129.84809059999998	217.0714199	488.99216049999995	100.0
HLA-DRB1	5.0	5.0	5.0	5.0	5.0	5.0
HMGB3P30	42.79987867	5.822857646	25.0561993585	50.43674881	230.67386845	87.21708868
HNMT	19.61866274	8.992612544	16.178448515	20.24882144	52.086916355	26.48440378
HOXA1	12.85536224	18.89413582	11.122549402499999	10.68883854	12.9621457	12.94396097
HPGDS	83.72110944	56.70706623	112.802825205	163.0072128	169.33950595000002	100.0
HPSE	55.34751097	234.9215764	241.54091465	42.43076067	230.23555035	100.0
HRH1	75.97436695	78.2920509	109.73310676999999	48.27325407	160.6936363	100.0
HSPA6	106.71691090000002	259.1902042	55.241773705	234.43475669999998	218.425300005	100.0
HTR2B	22.71063607	9.317338154	8.2623550735	18.96530585	51.737184705000004	24.42747995
ICA1	134.2533776	2419.169387	187.33866445	134.4978713	205.45515360000002	100.0
ICOS	194.1905981	5000.0	1156.9493635	17.54275726	387.696217755	100.0
IDO1	241.33314840000003	241.4925332	208.70573305	1000.0	137.434895195	100.0
IFI44L	84.26221988	132.631945	110.14470070499999	306.8577881	1908.34475305	100.0
IFNA10	12.57137446	15.27320006	12.97044876	10.86522171	82.85076365	32.90746015
IFNG	249.0786281	208.33942340000002	1675.4291169500002	1911.292643	221.83124099999998	100.0
IGHD	62.3476822	135.5693196	74.569449915	27.13475053	27.736358019999997	61.38048117
IGHE	15.63289317	51.74744263	42.73885242	17.44701747	23.32779066	30.99437706
IGHM	361.73792189999995	2116.0055629999997	127.847146805	148.58713480000003	409.9671035	100.0
IGKC	3097.474216	329.59788419999995	271.652619515	222.9848298	1205.71412345	100.0
IGLL1	5.0	5.0	5.0	5.0	5.0	1000.0
IGLL3P	217.4652812	50.27476208	43.4861796	48.12236649	293.94559601500004	100.0
IGSF6	27.09871228	27.93727573	41.17668829	87.35190647	97.280170005	59.90023015
IL12B	41.94288686	42.09518393	48.51698344	71.24159384	63.79869137	54.27300204
IL12RB2	95.11508424	117.5335217	225.26694598	1062.535353	303.07550405	100.0
IL17A	7.018701499	69.22003670000001	78.42216629149999	8.79960816	14.75730559	38.77104145
IL18R1	197.57430300000001	119.23727859999998	197.66576224	956.9438981000001	767.48143615	100.0
IL18RAP	541.6070596	101.4843406	202.67767579000002	5952.214618999999	2300.6658005500003	100.0
IL1A	65.8236721	52.93205499	108.27687882000001	78.86706615	75.854789735	80.84087576
IL1B	144.21868909999998	204.2875485	181.36158534999998	245.81715840000004	318.12229235	100.0
IL1RL1	34.56285806	69.00006431	51.16377735500001	95.21686825	79.3423699	65.68458359
IL21	59.42001123	1466.934174	114.36525329	53.359655700000005	65.02775909500001	100.0
IL26	7.410920044	116.5979064	74.726931622	6.414016755	15.779112390000002	44.49070446
IL2RA	85.8239546	184.4383466	1378.22471868	335.1021874	1927.3697076300002	100.0
IL2RB	4000.216538	7279.249666	3047.1705841999997	5000.0	8831.237724999999	100.0
IL3	9.157134905	15.86814667	429.293486948	21.20226829	21.6343105945	100.0
IL4	13.17067743	118.0039289	66.09585564000001	10.93822491	32.25146933	48.40106874
IL4R	884.6593550000001	414.2300341	1565.9167909999999	1230.600669	2007.9553171999999	100.0
IL5	18.71157669	28.07283413	54.441802375	10.99221059	60.436797115000005	41.07626006
IL5RA	42.945116399999996	32.20308963	40.182324845	44.97513053	110.8158699	60.30281801
IL7	41.57938135	68.38795936	42.24861444	25.494881699999997	35.275567765	41.5015124
IL7R	15195.168580000001	3066.253514	14769.421255000001	750.484975	1312.99404225	100.0
IL9	43.06562332	46.35002341	1669.5171595549998	38.82242166	31.417836089999998	100.0
IRF4	5.0	5.0	5.0	1000.0	5.0	100.0
IRF8	350.3493603	610.5494812999999	273.0886213	2110.1247559999997	594.486324	100.0
ITK	6471.889098	9006.839826000001	7704.3386405	3519.338157	6088.181886	100.0
KCNA3	573.9051164	263.9154835	557.67937015	494.28369050000003	257.82190369	100.0
KCNG2	18.15238454	13.09271261	10.1143468755	16.87490977	7.607732181500001	11.93773786
KIAA0226L	41.69784069	26.53483439	70.20707794	42.35358906	92.17324757	62.19241645
KIAA0754	23.11849958	76.11959313	43.543595811	150.6521362	58.19772359	64.76755253
KIR2DL1	8.01647279	6.198523194	9.01099063	407.1182787	24.365791514999998	69.72669128
KIR2DL4	122.22460079999999	71.00293957	98.04884240499999	1147.747007	183.32785909999998	100.0
KIR2DS4	280.1613018	129.4623262	108.8815534	2095.187797	367.3240312500001	100.0
KIR3DL2	22.06039056	9.926447424	12.68739786	837.6043714	122.26109588	100.0
KIRREL	34.23347857	23.95290683	19.054285405	15.17383001	100.94728479999999	44.76619369
KLRB1	8818.269215999999	4477.729529	2790.5150408	9267.058342	3129.9982905	100.0
KLRC2	724.7758508999999	5.442550700000001	17.702357265	5000.0	317.07359076499995	100.0
KLRC3	724.7758508999999	5.442550700000001	17.702357265	5000.0	317.07359076499995	100.0
